DŽpartement;Composant principal;pH moyen
01;Limon;7,4
02;Limon;7,6
03;Limon;6,5
04;Calcaire;7,7
05;Caillouteux;6,7
06;Calcaire;7,8
07;Schiste;6,2
08;Limon;6,7
09;Granite;5,8
10;Limon;7,8
11;Argile;7,6
12;Calcaire;6
13;Argile;7,8
14;Limon;6,7
15;Basalte;5,7
16;Argile;7,5
17;Limon;7,6
18;Limon;7,4
19;Granite;5,9
2A;Granite;6
2B;Schiste;6,3
21;Argile;7,5
22;Granite;5,6
23;Granite;5,8
24;Calcaire;6,7
25;Calcaire;7,3
26;Argile;7,5
27;Limon;7,2
28;Limon;7,7
29;Sable;5,4
30;Calcaire;7,6
31;Limon;6,8
32;Argile;6,9
33;Sable;6,3
34;Argile;7,6
35;Granite;5,7
36;Argile;7,4
37;Limon;7,4
38;Limon;6,5
39;Calcaire;7,3
40;Sable;5,3
41;Limon;6,8
42;Schiste;6,4
43;Basalte;5,9
44;Limon;5,9
45;Limon;7,4
46;Calcaire;7,5
47;Argile;6,7
48;Granite;5,8
49;Limon;6,8
50;Limon;6,3
51;Limon;7,7
52;Limon;7,3
53;Granite;5,9
54;Limon;7
55;Limon;7,4
56;Granite;5,5
57;Limon;7
58;Limon;6,6
59;Limon;7,6
60;Limon;7,4
61;Limon;6,5
62;Limon;7,5
63;Basalte;5,8
64;Argile;6,2
65;Granite;5,7
66;Calcaire;7,5
67;Limon;7,1
68;Limon;7
69;Argile;7,4
70;Limon;7
71;Argile;7,1
72;Limon;6,6
73;Calcaire;6,6
74;Calcaire;6,5
75;Anthropique;7,3
76;Limon;7,3
77;Limon;7,5
78;Limon;7
79;Limon;6,9
80;Limon;7,4
81;Argile;6,7
82;Argile;6,9
83;Calcaire;7,7
84;Argile;7,7
85;Limon;6,4
86;Limon;6,9
87;Granite;5,9
88;Granite;5,8
89;Calcaire;7,4
90;Limon;6,6
91;Limon;7
92;Anthropique;7,3
93;Anthropique;7,3
94;Anthropique;7,3
95;Limon;7,3
